country,date,station,tl_cm,wt_g,sex,maturity,year,month,quarter
Tanzania,2008-11-08T00:00:00Z,Ndarwa,45,1100,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,44.2,1100,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,40.6,950,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,51,1600,F,II,2008,Nov,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,48,1500,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,40.1,850,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,75.8,6100,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,41.8,900,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,36.6,750,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,47.5,1350,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,44.1,1050,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,38.8,800,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,37,750,F,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,37,750,F,II,2008,Dec,4
Tanzania,2008-06-08T00:00:00Z,Ushengere,48,1400,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,56.5,1900,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,44.4,1100,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,45.5,1100,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,38.3,700,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,39,750,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,38.2,650,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,45.9,1200,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,41.2,900,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,44,1050,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,37.7,600,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,38.5,650,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,46.6,1200,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,40.8,750,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,43.3,900,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,41.5,800,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,44.3,1000,F,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,43,900,F,II,2008,Jun,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,48.1,1400,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,41.1,850,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,45,1100,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,46.4,1100,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,42.3,950,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,45,1050,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,48.8,1450,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,53.3,1700,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,46.5,1150,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,45,1050,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,46,1100,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,47.8,1300,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,43.6,1000,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,40.9,800,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,47,1200,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,43.5,1200,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,42.1,900,F,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,40,750,F,II,2008,May,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,41,800,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,46,1100,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,40.9,750,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,49,1300,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,51,1500,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,38,650,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,43.7,900,F,II,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,45.9,1100,F,II,2008,Apr,2
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,47.5,1300,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,52.5,1600,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,50,1500,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,44.5,1000,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,42,850,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,49.5,1500,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,45.5,1150,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,44.7,1000,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,48,1200,F,II,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,52,1650,F,II,2008,Mar,1
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,54.4,1800,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,42.5,1000,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,54,2000,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,46.5,1150,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,44.5,1100,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,46.8,1300,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,42.3,850,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,40.5,800,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,41,750,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,43.7,1000,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,42.1,950,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,38.6,650,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,35.6,550,F,II,2008,Jul,3
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,40,700,F,II,2008,Jul,3
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,42.5,850,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,44,900,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,48.23,1250,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,48.2,1250,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,48,1200,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,48.9,1300,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,47.8,1250,F,II,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,46.6,1050,F,II,2008,Feb,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,41,800,F,II,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,43.4,900,F,II,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,50,1500,F,II,2008,Jan,1
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),47.5,1200,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),56.5,2400,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),50.3,1600,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),48.5,1400,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),47,1200,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),49,1450,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),44.5,1150,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),53,1700,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),53,1800,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,53.2,1700,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,44.9,1150,F,III,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,55,2000,F,III,2008,Aug,3
Tanzania,2008-10-08T00:00:00Z,Juma island,59.5,2600,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,52,1600,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,56,2100,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,52,1650,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,52.5,1800,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,53,1800,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,44.7,1400,F,III,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,47,1250,F,III,2008,Oct,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),48.2,1600,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,56,2250,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,54.4,1900,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,52.6,1800,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,49,1300,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,59.6,2600,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,52.5,1850,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,48.2,1500,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,49,1500,F,III,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,48.1,1300,F,III,2008,Nov,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,50.5,1650,F,III,2008,Dec,4
Tanzania,2008-06-08T00:00:00Z,Ushengere,61,2450,F,III,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,51.4,1600,F,III,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,54.8,2000,F,III,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,55,1900,F,III,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,56.8,2350,F,III,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,45.5,1100,F,III,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,42.5,950,F,III,2008,Jun,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,57.5,2400,F,III,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,56.5,2050,F,III,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,51,1600,F,III,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,46.5,1250,F,III,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,46,1100,F,III,2008,May,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,55.8,2200,F,III,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,58.6,2300,F,III,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,55.1,2000,F,III,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,55.5,1900,F,III,2008,Apr,2
Tanzania,2008-04-08T00:00:00Z,Ikungu Bay,49,1350,F,III,2008,Apr,2
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,58,2700,F,III,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,53.8,1800,F,III,2008,Mar,1
Tanzania,2008-03-08T00:00:00Z,Ukara Channel,56.5,2050,F,III,2008,Mar,1
Tanzania,2008-07-08T00:00:00Z,Nansio Pt.,98.3,12500,F,III,2008,Jul,3
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,50,1400,F,III,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,49.4,1350,F,III,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,57,2250,F,III,2008,Feb,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,45,1000,F,III,2008,Feb,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,62,2950,F,III,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,51.9,1700,F,III,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,54,1800,F,III,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,51,1700,F,III,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,47,1200,F,III,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,48.6,1450,F,III,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,55.6,1900,F,III,2008,Jan,1
Tanzania,2008-02-08T00:00:00Z,Off Kerebe,61,2500,F,IV,2008,Feb,1
Tanzania,2008-08-08T00:00:00Z,Augustus,90.6,9250,F,IV,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,69.6,4300,F,IV,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,69,4350,F,IV,2008,Aug,3
Tanzania,2008-11-08T00:00:00Z,Ndarwa,72,4600,F,IV,2008,Nov,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,58.5,1750,F,IV,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,82.5,7300,F,IV,2008,Dec,4
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,61.3,2600,F,IV,2008,May,2
Tanzania,2008-01-08T00:00:00Z,Musira Is.,65,3850,F,IV,2008,Jan,1
Tanzania,2008-01-08T00:00:00Z,Musira Is.,77.2,6000,F,IV,2008,Jan,1
Tanzania,2008-10-08T00:00:00Z,Juma island,65,3500,F,IV,2008,Oct,4
Tanzania,2008-05-08T00:00:00Z,Nyangoge,60,2500,F,IV,2008,May,2
Tanzania,2008-01-08T00:00:00Z,Musira Is.,77.5,5500,F,IV,2008,Jan,1
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,68.2,4000,F,V,2008,May,2
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),44.5,1000,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),39.4,800,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),44,1050,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),40.7,600,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),43,1100,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),41.5,1000,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),32.5,400,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,47.5,1400,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,46,1150,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,46,1300,M,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,47.5,1250,M,II,2008,Aug,3
Tanzania,2008-10-08T00:00:00Z,Juma island,50,1500,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,43,900,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,43.4,1000,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,38.5,700,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,39.3,750,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,38,650,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,37.3,700,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,46.5,950,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,40.5,950,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,38.4,800,M,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,43.5,1200,M,II,2008,Oct,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),54,2100,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),47,1300,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),43.5,1000,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),43.3,1200,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),43,1100,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),43,1000,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),40.7,950,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),43.4,1100,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),45,1000,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),42,1100,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),41,850,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),45.6,1150,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),40,900,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),41.2,900,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,47.5,1500,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,42.1,900,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,50,1450,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,44,1000,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,48.7,1600,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,43,1100,M,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ndarwa,46,1200,M,II,2008,Nov,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,49,1500,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,51.2,1700,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,35,600,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,40.5,900,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,38.5,800,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,37.5,650,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,50,1500,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,38.3,700,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,35.5,650,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,38,800,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,38,800,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,47,1350,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,42.4,1050,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,42,1000,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,41.5,1000,M,II,2008,Dec,4
Tanzania,2008-12-08T00:00:00Z,Ilemela,41,950,M,II,2008,Dec,4
Tanzania,2008-06-08T00:00:00Z,Ushengere,48,1250,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,46.1,1150,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Ushengere,42.4,900,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,43,1000,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,42.4,850,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,45.4,1000,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,44.3,900,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,43,900,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,41,800,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,41,900,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,44.5,1000,M,II,2008,Jun,2
Tanzania,2008-06-08T00:00:00Z,Off Iriga,38.4,650,M,II,2008,Jun,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,41.8,850,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,44,1000,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,46.2,1200,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,45.8,1100,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,40.8,800,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Nyangoge,41.5,800,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,44,1250,M,II,2008,May,2
Tanzania,2008-05-08T00:00:00Z,Off Guard Rocky,42.2,900,M,II,2008,May,2
